214328887	Aaren
17116707	Aarika
380580781	Abagael
221036078	Abagail
107830991	Abbe
151338729	Abbey
19705747	Abbi
222261763	Abbie
19933035	Abby
158419434	Abbye
149538028	Abigael
364971269	Abigail
100581193	Abigale
113058991	Abra
151338729	Ada
406628822	Adah
460282402	Adaline
280935165	Adan
222261763	Adara
285312927	Adda
279787626	Addi
158419434	Addia
394263193	Addie
254839786	Addy
204317520	Adel
67864340	Adela
270449528	Adelaida
153226312	Adelaide
67864340	Adele
153226312	Adelheid
394263193	Adelice
124528830	Adelina
204317520	Adelind
220368467	Adeline
206923844	Adella
153226312	Adelle
207594668	Adena
451250774	Adey
6581292		Adi
34428380	Adiana
196327549	Adina
274153775	Adora
222261763	Adore
279787626	Adoree
6581292		Adorne
196680777	Trish
69548480	Trisha
321896852	Trista
24444592	Trix
72818790	Trixi
110146659	Trixie
183636111	Trixy
424162771	Truda
69592091	Trude
19358562	Trudey
303600495	Trudi
272881486	Trudie
107830991	Trudy
376946114	Trula
100687501	Tuesday
354142522	Twila
302847930	Twyla
376946114	Tybi
151495845	Tybie
69592091	Tyne
149538028	Ula
217796457	Ulla
280935165	Ulrica
69592091	Ulrika
328590469	Ulrikaumeko
40981798	Ulrike
254839786	Umeko
149538028	Una
17868918	Ursa
31331740	Ursala
17503591	Ursola
19063323	Ursula
17503591	Ursulina
149538028	Ursuline
317076339	Uta
208132323	Val
18951737	Valaree
82884926	Valaria
96071489	Vale
424162771	Valeda
39241609	Valencia
297801196	Valene
151338729	Valenka
151338729	Valentia
280935165	Valentina
196680777	Valentine
24444592	Valera
328590469	Valeria
40981798	Valerie
290309885	Valery
86221475	Valerye
86221475	Valida
56860418	Valina
19063323	Valli
43003845	Vallie
297801196	Vally
69592091	Valma
153226312	Valry
192576354	Van
424162771	Vanda
92189589	Vanessa
175671498	Vania
19493072	Vanna
2367911		Vanni
291295571	Vannie
358775055	Vanny
18996905	Vanya
461410856	Veda
270449528	Velma
304462046	Velvet
157829215	Venita
440963134	Venus
175671498	Vera
41824048	Veradis
26604704	Vere
2367911		Verena
69592091	Verene
148745060	Veriee
280935165	Verile
227679610	Verina
40981798	Verine
310030172	Verla
121533789	Verna
217796457	Vernice
26929220	Veronica
354733764	Veronika
16452939	Veronike
67864340	Veronique
19493072	Vevay
36683668	Vi
14479720	Vicki
110823581	Vickie
14511951	Vicky
78138151	Victoria
